part_number,product_url
EB200E.IR-FN.8L2C2.008L,https://www.baumer.com/us/en/eb200e-ir-fn-8l2c2-008l/p/45205
EB200E.IR-FN.8L2C5.008L,https://www.baumer.com/us/en/eb200e-ir-fn-8l2c5-008l/p/45208
EB200E.IR-FN.8L2E0.008L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb200e/eb200e/eb200e-ir-fn-8l2e0-008l/p/47339
EB200E.IR-FN.8L2GN.008L,https://www.baumer.com/us/en/eb200e-ir-fn-8l2gn-008l/p/45207
ITD49H00 - Rectangular signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd49h00---rectangular-signal/p/39263
ITD49H00 - Sine signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd49h00---sine-signal/p/39265
ITD69H00 - Rectangular signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd69h00---rectangular-signal/p/39267
ITD69H00 - Sine signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd69h00---sine-signal/p/39269
ITD69H02 - Rectangular signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd69h02---rectangular-signal/p/39271
ITD69H02 - Sine signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd69h02---sine-signal/p/39273
ITD89H00 - Rectangular signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd89h00---rectangular-signal/p/39275
ITD89H00 - Sine signal,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/itdx9/itd89h00---sine-signal/p/39277
HDmag MHGE 100,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhge/mhge-100/p/47401
HDmag MHGE 200,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhge/mhge-200/p/47402
HDmag MHGE 400,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhge/mhge-400/p/47403
HDmag MHGE 800,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhge/mhge-800/p/47404
HDmag MHGP 100,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhgp/mhgp-100/p/50680
HDmag MHGP 200,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhgp/mhgp-200/p/50681
HDmag MHGP 400,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mhgp/mhgp-400/p/50683
HDmag flex MIR 3000F,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mir3000f-mqr3000f/incremental-for-shafts-up-to-3185-mm/mir-3000f/p/29025
HDmag flex MIR 350A,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-heavyduty/mir3000f-mqr3000f/incremental-for-shafts-up-to-300-mm/mir-350a/p/29027
EB260.IR-5N022.VU2E0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n022-vu2e0-01024l/p/94305
EB260.IR-5N022.VU5C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n022-vu5c1-01024l/p/94309
EB260.IR-5N022.VU5JN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n022-vu5jn-01024l/p/94310
EB260.IR-5N038.VU2E0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n038-vu2e0-01024l/p/94306
EB260.IR-5N038.VU5C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n038-vu5c1-01024l/p/94311
EB260.IR-5N038.VU5JN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n038-vu5jn-01024l/p/94312
EB260F.IR-2N052.VU5C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2n052-vu5c1-01024l/p/98964
EB260F.IR-2N052.VU5JN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2n052-vu5jn-01024l/p/98965
EB260F.IR-2N092.VU5C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2n092-vu5c1-01024l/p/98966
EB260F.IR-2N092.VU5JN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2n092-vu5jn-01024l/p/98967
EB260F.IR-2R052.VS6C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r052-vs6c1-01024l/p/94315
EB260F.IR-2R052.VU6C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r052-vu6c1-01024l/p/94313
EB260F.IR-2R052.VU6JN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r052-vu6jn-01024l/p/94314
EB260F.IR-2R052.VUMJN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r052-vumjn-01024l/p/92688
EB260F.IR-2R092.VS6C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r092-vs6c1-01024l/p/94318
EB260F.IR-2R092.VU6C1.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r092-vu6c1-01024l/p/94316
EB260F.IR-2R092.VU6JN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r092-vu6jn-01024l/p/94317
EB260F.IR-2R092.VUMJN.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r092-vumjn-01024l/p/92689
EB260K.IR-2N052.VU5P0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2n052-vu5p0-01024l/p/94920
EB260K.IR-2N092.VU5P0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2n092-vu5p0-01024l/p/94921
EB260K.IR-2R052.VU6P0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2r052-vu6p0-01024l/p/94922
EB260K.IR-2R052.VUMP0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2r052-vump0-01024l/p/94924
EB260K.IR-2R092.VU6P0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2r092-vu6p0-01024l/p/94923
EB260K.IR-2R092.VUMP0.01024L,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2r092-vump0-01024l/p/94925
EB260.IR-5N HTL/TTL differential + IO-Link,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n-htl-ttl-differential-io-link/p/92254
"EB260.IR-5N IO-Link (HTL/TTL, 2-channel, M8)",https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260/eb260-ir-5n-io-link-htl-ttl-2-channel-m8-/p/92258
EB260F.IR-2N HTL/TTL differential + IO-Link,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2n-htl-ttl-differential-io-link/p/92257
EB260F.IR-2R HTL/TTL single-ended + IO-Link,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r-htl-ttl-single-ended-io-link/p/92255
EB260F.IR-2R HTL/TTL/SinCos,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260f/eb260f-ir-2r-htl-ttl-sincos/p/92253
EB260K.IR-2N HTL/TTL differential + IO-Link,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2n-htl-ttl-differential-io-link/p/94851
EB260K.IR-2R HTL/TTL,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2r-htl-ttl/p/94771
EB260K.IR-2R HTL/TTL single-ended + IO-Link,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/bearingless-encoders/magnetic-ring-encoder-industrial/eb260/eb260k/eb260k-ir-2r-htl-ttl-single-ended-io-link/p/94852
HOGS 100 S,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/functional-safety-encoders/sil2-heavyduty-encoder-incremental/hogs-100-s/p/29182
EIL576S-S,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/industrial-encoders-incremental/58-mm-precise-optical/58-mm-sil2-sil3-certification/eil576s-s/p/39551
HOG 86 + FSL,https://www.baumer.com/us/en/product-overview/rotary-encoders-angle-sensors/heavyduty-encoders-incremental/hog86-pog86/hog-86-fsl/p/29307
